id,accountId,puuid,name,profileIconId,revisionDate,summonerLevel
aVZdeMGz1QBFktJFtSO5YlPWczwHqRlQE5hl--UB6s0SpdP7lZsqPXbtfA,hei71xkhjIZdj7DoC_1vLGIWiHFHAHwk6YzELEDK5L_JDmQg_NlFV8uy,DzrTxBt-Ixg0N8Oi7wkvOY8LB26FoYV5PBYq-qHaCZPQOhZrjLR8B77o2CxM7xGXmReJxArbgjPyMw,suhibgweyf1ewfy,907,1664991146000,52
EPYc0Ox7MbCheminT74X3WMREXNOh5pW41u8s0iAlM1iZg,N6WdEd2ZpYnz89SJCPE4dA299_PTIbD81bu5K66C8ql8P8s,DrIwuK32INSnkfW2gx7ijPJGcDcj2sFIvqRdkdpzDbWyLPw9uqtkR4_0kkLBXVU8pXi1Kag7_W0gTA,Procurando Nami,605,1665207997000,991
Js09-QDCyfiR-fKEvcqUSefUSvgSi9DJEU14samTlxTQLg,d5d5sOU2hnFB9lNGOYI-nqWhbvgeUCjj_ppyjMGer2DJ,ubA6W05FlJtP-NN8LT7DSZBw4CLt-kIeCecopumc51JG2pPee5h83kmplL-PI4jeUX678yANe1s3WA,Heertel,4663,1665246745000,363
alnZ06sMfW22N0R4VDyavpN_FfjSuUklbYvRSczBIdkhfXY,GnWOzSt9Tlpz4wHV62AFgCz5HDtygzW7fzaZsOlN3Bcl8t-Wic9sWR0v,CQcYP3V5PB365ExQxqdwHLt10PaqosderdCOU6gw0AKr3WNeEE_GfC4gI2x1hG7U5RGTzjf5bxjCZQ,evil blink,5408,1665425182000,105
YcjUeWhUTd9FvZeJ9iUTqmRrrPWPMzbMunZCk0J_KG3SHiw,1P-Cdlc6MM6MbR1yNKv1IFi9cDRBEEKB8N8dyYwYboReZ-w,8m4HhGaHnhA7kmlNp2dsWU_3n31RcEnu_N6k_k45hd1LdKwqJujjiRY2_KD0tvzwUJcMZsC8-3AMNw,little zay,5170,1665517157086,636
uDo3sxopx5_pzahbUAyI_YJ5GZgSW0LbSp49ag_JWoOeUA,MUd23M8WP2aoRGjHaFRAJRGbK6Klhoh86YTtVaZ3yhj3a70,b2hOPGx92vUgNzNvXm2uz8YoE6ODCPl6YAeWurUwsZxgxHS4DnEHTlRAAcBSTlZkBXATQV0QTL8bHw,Nukan,5521,1665533546082,920
12U30x4l2wRRf0j-fUPOKe4S_X8ltJVTy9GUmdwig3VJS8I,tFuA0SHlWBTUWjSTxWI_JPeSSvT4U04HoPZLDQnKH7A79U0,WvFBWh8SyBeZ9g7qN6aS5fErg7NT91kAM-fGB4geR2aEbTP7HoUkPw4lYpM15Ak2sltOlyQGuvLHoQ,Little Mandiocaa,5413,1665478590000,487
lIqpsx1zlKXT8Zq9iGGYmY0gtFcdHzYZXEXvYVhiOWdrStc,l3U-y9PTcRVvGpyVd1Pd-VICtmA9OvDgXvCCKQvW9NRPIlU,s-OM4ctWKmxS61jPxvcwthZ8QdwqOFQ8fRkro2FKNXFU7VEsoxM-PN81ScRCLuyyKbqkt51kv8wx1w,Taara2,4658,1665269196000,169
Bo6BFCpUfoQrZsnZYZ2r_pzrLj7IzGStyyfpHRKZsUsqpw,8FmybY_npil2Xe5JSlxc3AB-4cZMpsurGgewix9SGKJcS2o,HF5b_8SfPm8mWOIWZf-mp20wjt3coipM63Vilk-DpFBoYgudz7Jlco1ZVfCai3FYEAsGzZQw9BQG4A,ninjakiwi123,593,1665279021246,577
q_CAE7x56G2SR1iET3-BaThm_prX8mIKCHkejBe4ct3ySA,4SY-QOojFocDnzms4b8CnNZQSZBvMyPZre2kHoWFb78,cdylu_cUrnRiJ8eeD596R5Sccv6rqZT3KoPA31AlzET6Z7v4-Amii4l30hXbXt7e0htyexHaweI4IA,Morttheusz,5414,1665354418000,607
DVdlxMjLQVoZtejaBhqhMzIMg5TKBDWxrGIyeMHV-r29BI4,t2ZK1MDyyqIRe7jONLsGfDdn5bkiwj4CWpZCaM37d8TkCG4,w9xdEdgVzaBs92FlwK0znFA--wBn00n6-LB0JGFSQgxb9mH2jhpnvMPO2f0f1h3TGmv4g501PfBkNg,CAVALÃO DO AMASS,4348,1665001466000,827
vcETenyoBV3FTyKEVpo6MukIhrujkJXvAG4qpPxX1nD9CA,jzR7F-nFUjhvUldLA93sCtL6V0N8vRT4xBaYi5J9gLnb,dfS_F6bRzg01ORcNMtRd9mbfhyP-Hu1yT6n14P02qtaBhSi6XsT8nk34nz2YgDvBB76uOh1P8DTfSA,EU COMO BROCOLIS,5489,1665237280000,361
OsqBJDSz5HTeaq33nvweH6BxeYgJLjiGqtgGpE3pDLvr,2xF3q64syOqgziSpER7Bu8m3tOhaPnFFOHApx4knLrc,3UWfMoWilNRXIufM9vajV5SL9v37B01Amoz9Dzm0Zm2hUoLxVnno8GtD3t6_ZsnZGl0OmmAJqVm9TQ,azek,5529,1664996003404,920
NmiukaZIWfzGpDtsX0pRa35iWKwDY6Np-9bhd25CR4I65A,QC-Y0ORp4F7h1DI8J-qkH4I8qXSEi8FrnYke-o2igQsk,eETfBIQYRayyGVafJPh_gmoDHduZipsTiph0kx98HsbXKJUDL2ePpBBrklfR9ER_4FvU8w--kbVHxw,VRX Raven,20,1665438272000,188
ZqMzJdnR6WEC6RWe3RJDbkvbBdelzzd5mVqrAMRi3elbies,c3SfGs9u6KOiSl0GFhDwDfPRQc4qvcz6BOeSzM8f3yU81Hqrng1THRhC,FMP-dmeHrCbgKeeOIjm0a5oAy2IB_3dT53pqkkArKWOLoEFapAOo3ndNBvxA-wf1K8PtpyDjcERKeQ,CURSE OF AVERNUS,5528,1665562485602,701
kYGIUvtamnyMfdgj0y-pJml2-r0F1xLHwCQDSwUyBLNajw,gUXa7MmEdPbtW-KRHTnxp6bUDzdTILUOvOfe8txE6AVQpj8,Wyf6X0V3rtBK8aKFQxqFcZdiMAEzx0_eorVqNJbgn7BIsdPpiB3l_DlUpfp2N4q3MYZJXQ4ZbszAoQ,Quìnn,3150,1664900260000,682
2Hj5GzlihklY0M_20PMrZXjQ7ayasvc92zXJZVazOQGA,ZTS0jFbV-VEe6cH0eyN5q7D6Fx7G5Iyewb-Koyo6s58,X1NQLDyMsuUBYCL1zS1GBF9bdlTPcEfBFzVJm2N5PPLCFRa3fCow1TGqeTq_JxccahNQqKRPUau7tQ,Losin ControI,5027,1665380140000,415
Yj8pJ8f_UZYWQIvGMkeFCLwwglmZhIhDLp2ApXhVIKInvLjr5dJdPdwjGQ,XIwpcjPhdykO5evurEuQEoZHtoDFBppirxw7wq-_fnecTeOge1OBmJYj,Eu7f9S26Gu_c60jFJ9YPjObWZ7z3c2mUiwB8k4d9pRWZ44zdze5yJj43i_yePDweOknRLPJILdyOmw,sèrjão agiota ,741,1665431010000,53
7FEuwMdPegtUZ9StAUaDVYXROH0StWQ2VD4XXRz9F7TkJQH9Ir7-JGrUig,-uwLykYEiE7qU2GynXA5O92xH1kaziiHwRX20tyacewjrzVknpHiSUaq,XtHS1E7VbEuiUfW3bciITVprNgopWA12FaTYhWVi7TXJjdJlCa_RcecEze8FcUxKNzaRqobsiEwyGg,ALA CAMISA 8,19,1665517157086,73
8P8OpaWR98PGpqg90o0YixRyPpzfAMyG26E80IvsHWEJ,3MFg14RboLxktHICcAOuVGr7vrfH8BuNX63bozntsEU,oCqm4gmj0Wua78UuxhNTbJLAyD1TZySBMKulKhkQ7sgIpdSw2L8Y9ZhWliL2kY-kCqFYsrBInnwoYA,IZG Chifre,575,1665536770786,396
OoH37pmK5JVZtodr2uvZFK6YJSbE2qhFPXDjzIVyT132FA,uHOhMsmaeDaXEFwX-hBgwPFvx_p_ZJ7Sij5uK9fNTMgdTvk,7_STecIblcoaIuVtoiHJzC7SciIK2Q_f8NMpS4eOdU6elQReQuEGoB7PZbdmNqvrInZdlP0YmSyhug,MaIdição,3785,1665462918000,806
TwGS6c2Z3vsbdmmHOGH4LHgTOsbw1rZSboYSQ0qOPaUp9vnd3j4XJDd-0Q,39MJbIWrgMYBXg1COpviSa0PISBMXkMPrX1n_G-SbePs5INEyVvjdYYH,pkDHPCJk47i4N5JNtIpv11y1ohKK_sUWX3L1pNWHi7VJN_hs3voirEkzZfbJlsfS4qyunghj2TFTjw,não sou o sup,5410,1665020982000,65
TEgHsDFqQLzdOK7RdcQtiEuJcTDuc24z2IlS66n9Qd81E10,hE1u95QTWBGfssntCX-yAlWULg-l1iR23_8ynr2pi4YV9WI,u7mHU8uikS6TxFBPat5mSPpiz5lKhgYXQ2yDAaLikmtXy-_wDOpXM8wsFOsu3RUGZf9ocIRfEOM1CQ,EIoHigh Pyke,27,1665255820000,227
3ld1WDWFeANR0OfHiVGB_Wbz1n3mt9OsTdXQL1LvsiXsmg,jG_Y8To1WZVIvMRCQ2Yktw_IOuErVMiiYSy4wjGc4nZZazs,xZ7OYfAzmftF9mNusUqNPBgvrD2Z5xbD4EhhrGoLualTMHNuQd_xfSTzswRHijo-P9hcsAqzzbuNCA,sixsixsix666,3890,1665409658000,498
VnaNaebyHK-tJNm5I8aC-7Vir0uCEdi6Q3VFLgOmyUoKyg,OxeGm7SBI7uCWUVmeoo24EHLr8lQaOcWkcjwQHzQGLc_Osk,3kcMWc_uGvgJNGsCXlnIWbBalqLKuRRcNlnYoz0e5qmx5SUYVoUWw2O9S1xIk7LdBdjq2QoFMM-AWA,Dizin,29,1665449419000,860
ljACeFlVoAeWiuj-8jFMNCgl1zpfdOjqpmgjHyLrCY6Fpw,R_DnB6YLn_8MiyEdTB1Ib0iKEc8ccQNJJiS5mGzC7w5um74,jboZ8nEowyapNMzLZf093aw3nuKLY9NL7g8ig-M1MutBby6dCxu-4dBxlCX6Yho3SGel0WUGLZTpxw,PP K 1,3615,1665249349000,181
EHS7tuyjWqLiAyRs1kAkJof8gFmHkBgwFuOwaS681xzvGA,Hw8TCa2NIzM6V8eEn97pzyQ1Tr-xXdDsLTbnsrVoOgj_w6M,ZxMxMuv8tiOLfweaOtHBDP-2TV2rc4u-buguYsLeqif0y5nui2s7hA1zKme9pVdexomCQ_cUkqUwrw,ProDelta,898,1665426795000,528
89g5w4-d6pXyPob_6PiAgJGlC2arZ-b5rr_VUnLlrWxcGQ,Q6l5d_Ahjd6aLNIw9ozGl6aKbB3Y8Tz8KmRu0_h-J0v7,MHVTVwdfoMsSIGGc9Qnsq4d3SmZX-3-CQD247Yq2a5GXQ9MjywrPUZK1vLNJ9wW6Ba3PiOwiPi94iQ,Kick a boo,7,1665329888000,516
t8_qpmoOwht1znzjrnSxdCtKlXVA-jEz9nCkxOu306eKtg,RRYaWmkPfaNJvgRNMXy-Tn1fgsoGqzqteCgZXN6Sc4WvXHI,SQVd2lwlysAmX4yidDf-xlai6y97F6PcTvtb81P1drWV5KqTA3G-4VsLX8Yp_QypCmYLwPiJHJp6_Q,ShaQuinn1,5458,1665373919000,373
4jJSZEs4dKB3Wm1Qv_1FdTQbWEKH4zLiASmzwJuFtqSSpw,j7O8vWe6JGNKadUPdbfidWOZMJq_vNHFsvyf2ulzIF7KI10,TFmUR84kdzZrK5fPjM7fhm7CagpbKKttpHm6wTn5_8qTfLqZaJCXb9LQPx96gGtqyuvBiTp6OXs1Dw,Sleepy,4405,1665526317088,531
a0fsXQy2gecAHwjPrFthggnLUUf0A7MrKZcMbeZXULCD7eQ,Vbc_WJiEY4fdD2IOsBf2I5t9MJ-jelQZwmRW_xCYFF6P_t8,ViONDQm7Pefk8ekHdwvDDJvDZ-_G-iEpyOcafzJDdrSPNemXIRfI1dBgkK5O9opNrhHQLfnPtksrUQ,Allesz1,5430,1665515005400,391
khnEcpWxlBn8A-UAT5WXhOvpm0klwxDvzpTG8dKhNQZb,fqjtoI4o-x4vN0cxJSxoDwss12WtR2pFwKCvdLWeFVM,bVgLDpFehoDpi3Wi2EK4uuYLUgdGDtyJ3nQFamJaF44wcPYyoYl_OpysC35gWQ9nNs3mkd0JF820fQ,RISE Zuao,5530,1665541016943,602
